,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
r542,80.7313514667843,-115.6780896565361,0.4224414110326576,-6.366091863998114,75.9994778746877,6.165087915806913,-2.5945664461999836,-1.475493428647754e-13
r543,83.0029240924791,-121.80059575123794,7.422839452450619,4.838175803245137,-73.43177709688786,-5.496887935445759,3.7241905774111976,-1.4754934286477453e-13
r544,-125.05129548327565,-12.993493781093518,-80.31739273619877,11.05634672175895,1.96706786701509,13.744825912705146,54.56419183984347,-1.475493428647741e-13
r545,-120.61126560246002,-15.578405636599507,-77.00612783010165,14.614837163242424,-2.615916361686973,-13.41410020974477,-55.73823690429174,-1.4754934286477484e-13
r546,94.52716852512613,102.95960298494352,-43.070432977137536,2.1015782370091025,-9.12838009652236,57.55015614449641,-12.596106835284404,-1.475493428647752e-13
r547,91.79386627522076,100.92411970139369,-46.34940245902109,-3.7688634375320706,6.724902440033418,-58.303692745155736,12.547934504678828,-1.4754934286477476e-13
r548,-66.27560507921838,24.22724659610367,90.55157164660636,-90.49738174887703,-5.47028216688181,1.350460469587099,-1.540851666477006,-1.4754934286477506e-13
r549,-38.11714419465715,37.939615543026164,148.34650349236938,68.02139912515204,5.95490754024243,-1.5958495522494383,1.633444930320056,-1.4754934286477428e-13
